tick,phi_total,threat_delta,pc_N,wormhole_P,omega_coherency,omega_entangle,omega_novelty,ring_state,continuity_ok,action
47,0.9476,0.0372,0.7607,0.926,23.7473,33.5122,14.8346,1.0039,True,REWRITE:Ω_FRAME
48,0.9261,0.0491,0.4255,0.6,24.2075,34.2935,15.1119,1.0161,True,REWRITE:Ω_FRAME
49,0.9554,0.2313,0.6367,0.9417,24.591,35.0221,15.443,1.036,True,REWRITE:Ω_FRAME
50,0.9323,0.225,0.5416,0.9552,25.1186,35.705,15.7963,1.0641,True,REWRITE:Ω_FRAME
51,0.9529,0.018,0.6306,0.3341,25.6232,36.3647,16.1352,1.0512,True,REWRITE:Ω_FRAME
52,0.9316,0.0515,0.3368,0.6506,26.1155,37.0888,16.364,1.1837,False,REWRITE:Ω_FRAME
53,0.9529,0.1498,0.6893,0.6346,26.5564,37.782,16.6583,1.2332,True,REWRITE:Ω_FRAME
54,0.932,0.0132,0.5318,0.9454,27.0843,38.4447,16.9484,1.2352,True,REWRITE:Ω_FRAME
55,0.9542,0.0134,0.6834,0.6979,27.5437,39.1024,17.2079,1.1486,True,REWRITE:Ω_FRAME
56,0.9394,0.0274,0.5273,0.8771,28.08,39.8679,17.4312,1.1366,True,REWRITE:Ω_FRAME
57,0.9444,0.0655,0.5252,0.921,28.588,40.5793,17.7005,1.1363,True,REWRITE:Ω_FRAME
58,0.9404,0.0751,0.3283,0.1555,29.0788,41.3038,18.0336,1.1861,True,REWRITE:Ω_FRAME
59,0.9623,0.1341,0.8487,0.8971,29.5593,42.0011,18.3765,1.1536,True,REWRITE:Ω_FRAME
60,0.9417,0.276,0.3258,0.8026,30.0101,42.6907,18.652,1.0687,True,REWRITE:Ω_FRAME
61,0.9398,0.1422,0.517,0.7153,30.492,43.2827,18.9254,1.0506,True,REWRITE:Ω_FRAME
62,0.9688,0.1299,0.6026,0.5131,30.9488,43.9923,19.2437,1.0909,True,REWRITE:Ω_FRAME
63,0.9418,0.0996,0.5605,0.4253,31.4017,44.6854,19.4816,1.0822,True,REWRITE:Ω_FRAME
64,0.9377,0.0657,0.5114,0.2102,31.9076,45.3821,19.742,1.049,True,REWRITE:Ω_FRAME
65,0.9598,0.0699,0.7335,0.1596,32.3539,46.0819,20.0884,1.14,True,REWRITE:Ω_FRAME
66,0.9285,0.089,0.3188,0.9533,32.791,46.7986,20.3359,1.1699,True,REWRITE:Ω_FRAME
67,0.9523,0.5918,0.5921,0.8574,33.2601,47.4856,20.6992,1.1978,True,REWRITE:Ω_FRAME
68,0.9332,0.0913,0.5044,0.9961,33.8346,48.1778,20.9867,1.1509,True,REWRITE:Ω_FRAME
69,0.9772,0.2199,0.7237,0.9999,34.3279,48.8342,21.3302,1.1631,True,REWRITE:Ω_FRAME
70,0.9525,0.0569,0.3146,0.8716,34.8495,49.5168,21.6046,1.2231,True,REWRITE:Ω_FRAME
71,0.9744,0.1773,0.7296,1.0,35.327,50.1947,21.9334,1.1539,True,REWRITE:Ω_FRAME
72,0.9548,0.1383,0.3126,0.8554,35.8737,50.8643,22.2472,1.1899,True,REWRITE:Ω_FRAME
73,0.9516,0.0988,0.4965,0.2581,36.371,51.5115,22.5882,1.184,True,REWRITE:Ω_FRAME
74,0.9621,0.049,0.5791,0.8576,36.8552,52.2494,22.9083,1.1702,True,REWRITE:Ω_FRAME
75,0.9589,0.3351,0.5774,0.6319,37.4335,52.9901,23.2115,1.159,True,REWRITE:Ω_FRAME
76,0.9585,0.0023,0.4921,0.9822,37.9191,53.6482,23.5521,1.1825,True,REWRITE:Ω_FRAME
77,0.9947,0.0353,0.7063,0.5552,38.41,54.2848,23.8657,1.1629,True,REWRITE:Ω_FRAME
78,0.9655,0.0164,0.3071,0.9976,38.9088,55.0117,24.2316,1.1683,True,REWRITE:Ω_FRAME
79,0.991,0.1418,0.6753,0.9928,39.4886,55.7035,24.547,1.1624,True,REWRITE:Ω_FRAME
80,0.9682,0.1458,0.4707,0.9848,39.9838,56.4278,24.8094,1.1507,True,REWRITE:Ω_FRAME
81,0.9681,0.1099,0.4853,0.9299,40.4734,57.1348,25.1137,1.1542,True,REWRITE:Ω_FRAME
82,0.966,0.0935,0.3038,0.7544,40.985,57.818,25.3804,1.1716,True,REWRITE:Ω_FRAME
83,0.9878,0.0121,0.7863,0.9786,41.4862,58.5392,25.6543,1.1775,True,REWRITE:Ω_FRAME
84,0.9527,0.3317,0.4815,0.9982,41.9915,59.2774,25.9862,1.0904,True,REWRITE:Ω_FRAME
85,0.9492,0.0656,0.4803,0.6891,42.4922,60.0136,26.2812,1.1055,True,REWRITE:Ω_FRAME
86,0.9486,0.0232,0.479,0.8185,42.9666,60.7632,26.6015,1.1221,True,REWRITE:Ω_FRAME
87,0.9766,0.0609,0.6167,0.4491,43.469,61.4843,26.8808,1.134,True,REWRITE:Ω_FRAME
88,0.9577,0.0769,0.2992,0.8367,43.986,62.1925,27.1755,1.1986,True,REWRITE:Ω_FRAME
89,0.9839,0.1304,0.7746,0.792,44.4723,62.9213,27.4753,1.2016,True,REWRITE:Ω_FRAME
90,0.9509,0.0836,0.4744,0.3292,45.0014,63.7043,27.7388,1.2579,True,REWRITE:Ω_FRAME
91,0.9396,0.1206,0.5537,0.9869,45.4848,64.4055,28.0991,1.2381,True,REWRITE:Ω_FRAME
92,0.9345,0.0359,0.4722,0.2629,45.9514,65.1266,28.4678,1.2742,True,REWRITE:Ω_FRAME
93,0.9318,0.0823,0.4711,0.9999,46.3732,65.8305,28.8258,1.3401,True,REWRITE:Ω_FRAME
94,0.9326,0.406,0.47,0.9983,46.892,66.5118,29.1261,1.2926,True,REWRITE:Ω_FRAME
95,0.9595,0.012,0.6849,0.8218,47.3601,67.1604,29.3881,1.2883,True,REWRITE:Ω_FRAME
96,0.9338,0.0845,0.2937,0.9454,47.8148,67.8656,29.7269,1.268,True,REWRITE:Ω_FRAME
97,0.9313,0.0821,0.5463,0.2499,48.336,68.5068,30.0658,1.2195,True,REWRITE:Ω_FRAME
98,0.9291,0.0097,0.5451,0.7739,48.8012,69.2206,30.3869,1.2102,True,REWRITE:Ω_FRAME
99,0.9584,0.0659,0.6229,0.5822,49.3529,69.9034,30.6242,1.2487,True,REWRITE:Ω_FRAME
100,0.9319,0.0328,0.2912,0.1506,49.8978,70.6161,30.9057,1.2188,True,REWRITE:Ω_FRAME
101,0.9509,0.0768,0.6664,0.9397,50.3617,71.338,31.1959,1.2217,True,REWRITE:Ω_FRAME
102,0.9254,0.0621,0.29,0.5026,50.8305,72.0511,31.4498,1.2886,True,REWRITE:Ω_FRAME
103,0.9364,0.0136,0.595,0.747,51.3196,72.8292,31.7634,1.2581,True,REWRITE:Ω_FRAME
104,0.9348,0.0123,0.6623,0.2357,51.7904,73.527,32.0972,1.2906,True,REWRITE:Ω_FRAME
105,0.922,0.175,0.4593,0.0679,52.3005,74.2124,32.3962,1.2779,True,REWRITE:Ω_FRAME
106,0.9199,0.288,0.2877,0.9904,52.8176,74.9691,32.7454,1.2825,True,REWRITE:Ω_FRAME
107,0.9365,0.0351,0.6681,0.0036,53.3362,75.6853,33.0616,1.2492,True,REWRITE:Ω_FRAME
108,0.9148,0.1841,0.2866,0.9928,53.8093,76.3307,33.312,1.2505,True,REWRITE:Ω_FRAME
109,0.9285,0.0239,0.6559,0.4366,54.2664,77.0362,33.6112,1.2569,True,REWRITE:Ω_FRAME
110,0.8938,0.0158,0.4549,0.8223,54.7199,77.7531,33.8306,1.235,True,REWRITE:Ω_FRAME
111,0.9066,0.0484,0.6283,0.9826,55.2548,78.4212,34.1738,1.173,True,REWRITE:Ω_FRAME
112,0.8801,0.0212,0.2844,0.8361,55.7439,79.1568,34.4974,1.2162,True,REWRITE:Ω_FRAME
113,0.9118,0.1204,0.6511,0.7749,56.3086,79.8301,34.8832,1.2059,True,REWRITE:Ω_FRAME
114,0.8951,0.0397,0.4515,0.4585,56.7966,80.5201,35.209,1.2315,True,REWRITE:Ω_FRAME
115,0.8953,0.0602,0.5273,0.8554,57.2779,81.217,35.5037,1.1909,True,REWRITE:Ω_FRAME
116,0.8919,0.2997,0.5264,0.2667,57.808,81.863,35.769,1.1623,True,REWRITE:Ω_FRAME
117,0.8835,0.1047,0.4491,0.9252,58.3659,82.5782,36.0214,1.191,True,REWRITE:Ω_FRAME
118,0.885,0.0666,0.4484,0.5741,58.8699,83.2796,36.3379,1.1629,True,REWRITE:Ω_FRAME
119,0.9033,0.0526,0.7893,0.7767,59.3293,83.9673,36.6903,1.1887,True,REWRITE:Ω_FRAME
120,0.8807,0.5962,0.3476,0.0526,59.8343,84.6907,37.0295,1.1168,True,REWRITE:Ω_FRAME
121,0.8821,0.0382,0.4461,0.5222,60.2875,85.4507,37.3253,1.1147,True,REWRITE:Ω_FRAME
122,0.883,0.0063,0.4453,0.9957,60.775,86.171,37.637,1.0764,True,REWRITE:Ω_FRAME
123,0.8828,0.1918,0.5202,0.9709,61.2114,86.7547,37.8635,1.085,True,REWRITE:Ω_FRAME
124,0.8706,0.086,0.3927,0.6063,61.7271,87.444,38.1317,1.0675,True,REWRITE:Ω_FRAME
125,0.9013,0.2429,0.7219,0.7921,62.241,88.1487,38.4067,1.0258,True,REWRITE:Ω_FRAME
126,0.8708,0.0033,0.2777,0.8719,62.738,88.7892,38.73,1.0476,True,REWRITE:Ω_FRAME
127,0.8671,0.0168,0.5043,0.8893,63.2618,89.4171,39.0236,1.0585,True,REWRITE:Ω_FRAME
128,0.8776,0.1761,0.4411,0.4688,63.6816,90.1567,39.294,1.049,True,REWRITE:Ω_FRAME
129,0.9061,0.0141,0.6339,0.5377,64.214,90.918,39.6153,1.0441,True,REWRITE:Ω_FRAME
130,0.898,0.2142,0.276,0.4682,64.736,91.6004,39.9428,1.0952,True,REWRITE:Ω_FRAME
131,0.9225,0.0133,0.7151,0.8942,65.2626,92.3585,40.2235,1.1421,True,REWRITE:Ω_FRAME
132,0.8983,0.1354,0.4384,0.4953,65.7322,93.0662,40.5799,1.0899,True,REWRITE:Ω_FRAME
133,0.9035,0.0252,0.4377,0.8501,66.2448,93.7912,40.9338,1.1389,True,REWRITE:Ω_FRAME
134,0.9093,0.0787,0.564,0.5873,66.7268,94.5041,41.3234,1.1032,True,REWRITE:Ω_FRAME
135,0.9144,0.062,0.5632,0.0995,67.2889,95.2015,41.6365,1.1099,True,REWRITE:Ω_FRAME
136,0.9125,0.0069,0.2735,0.2437,67.7803,95.8959,41.9351,1.0821,True,REWRITE:Ω_FRAME
137,0.9404,0.0343,0.6263,0.0037,68.2655,96.5684,42.2783,1.0635,True,REWRITE:Ω_FRAME
138,0.9148,0.0408,0.2727,0.997,68.7746,97.3248,42.6382,1.0475,True,REWRITE:Ω_FRAME
139,0.9474,0.3718,0.7068,0.9634,69.3363,98.0705,42.8357,1.0509,True,REWRITE:Ω_FRAME
140,0.9261,0.0182,0.4333,0.995,69.8685,98.8071,43.1192,1.0035,True,REWRITE:Ω_FRAME
141,0.9223,0.0549,0.4327,0.3926,70.3939,99.5634,43.3805,1.0339,True,REWRITE:Ω_FRAME
142,0.9227,0.1814,0.4321,0.0888,70.8822,100.3103,43.7424,1.0851,True,REWRITE:Ω_FRAME
143,0.9452,0.0438,0.6705,0.9938,71.3569,100.9861,43.9687,1.0711,True,REWRITE:Ω_FRAME
144,0.9354,0.2309,0.4309,0.9787,71.8912,101.7157,44.2369,1.064,True,REWRITE:Ω_FRAME
145,0.9344,0.0965,0.4303,0.0243,72.3633,102.4344,44.5727,1.0752,True,REWRITE:Ω_FRAME
146,0.9373,0.0981,0.5027,0.7362,72.828,103.1402,44.9099,1.1322,True,REWRITE:Ω_FRAME
147,0.9272,0.0573,0.5021,0.9977,73.3194,103.8472,45.3222,1.1261,True,REWRITE:Ω_FRAME
148,0.9297,0.0888,0.269,0.9641,73.8153,104.5067,45.572,1.1401,True,REWRITE:Ω_FRAME
149,0.9444,0.0944,0.6972,0.6688,74.2902,105.1855,45.9445,1.1509,True,REWRITE:Ω_FRAME
150,0.9151,0.3836,0.2683,0.9999,74.7609,105.849,46.2328,1.1242,True,REWRITE:Ω_FRAME
151,0.9159,0.0051,0.5509,0.9075,75.3084,106.5638,46.5616,1.1439,True,REWRITE:Ω_FRAME
152,0.9078,0.1216,0.4988,0.5982,75.847,107.2601,46.7765,1.1598,True,REWRITE:Ω_FRAME
153,0.937,0.1109,0.6129,0.9837,76.3145,107.972,47.1057,1.1699,True,REWRITE:Ω_FRAME
154,0.9208,0.0872,0.4253,0.6344,76.8212,108.6114,47.3249,1.1612,True,REWRITE:Ω_FRAME
155,0.9403,0.0877,0.6918,0.4337,77.3707,109.2684,47.5911,1.1404,True,REWRITE:Ω_FRAME
156,0.9235,0.107,0.2663,0.1832,77.881,109.9531,47.8621,1.171,True,REWRITE:Ω_FRAME
157,0.9219,0.1427,0.4237,0.741,78.3879,110.627,48.1207,1.16,True,REWRITE:Ω_FRAME
158,0.939,0.1638,0.4232,0.2473,78.8441,111.2757,48.3447,1.1356,True,REWRITE:Ω_FRAME
159,0.9557,0.0508,0.6172,0.9486,79.3769,111.9553,48.644,1.1543,True,REWRITE:Ω_FRAME
160,0.9389,0.0331,0.4221,0.9783,79.8067,112.6043,48.9172,1.079,True,REWRITE:Ω_FRAME
161,0.9673,0.0912,0.5835,0.9413,80.304,113.3029,49.2024,1.089,True,REWRITE:Ω_FRAME
162,0.9481,0.1119,0.2643,0.8144,80.8421,114.0352,49.5521,1.0648,True,REWRITE:Ω_FRAME
163,0.944,0.0187,0.4921,0.9451,81.3049,114.6988,49.8255,1.056,True,REWRITE:Ω_FRAME
164,0.9744,0.1543,0.6047,0.9235,81.8245,115.4402,50.1249,1.0386,True,REWRITE:Ω_FRAME
165,0.9505,0.2009,0.4196,0.2513,82.297,116.1492,50.4186,1.0117,True,REWRITE:Ω_FRAME
166,0.9532,0.0164,0.2631,0.2783,82.807,116.8705,50.663,1.0427,True,REWRITE:Ω_FRAME
167,0.976,0.2227,0.7383,0.7143,83.2485,117.5898,50.9719,1.0513,True,REWRITE:Ω_FRAME
168,0.9523,0.0199,0.3254,0.957,83.7508,118.2817,51.2592,1.0676,True,REWRITE:Ω_FRAME
169,0.9767,0.0266,0.6013,0.9642,84.1963,118.9531,51.5533,1.1037,True,REWRITE:Ω_FRAME
170,0.9524,0.0602,0.4882,0.7287,84.7324,119.6935,51.9044,1.0979,True,REWRITE:Ω_FRAME
171,0.9535,0.0067,0.4876,0.8681,85.3047,120.4741,52.2248,1.1296,True,REWRITE:Ω_FRAME
172,0.9533,0.0893,0.2613,0.0146,85.8225,121.2633,52.4477,1.1433,True,REWRITE:Ω_FRAME
173,0.9602,0.0387,0.5986,0.9734,86.312,121.905,52.7231,1.0896,True,REWRITE:Ω_FRAME
174,0.9388,0.3679,0.486,0.9997,86.8705,122.6049,53.0461,1.1428,True,REWRITE:Ω_FRAME
175,0.941,0.0123,0.5743,0.7011,87.3747,123.3359,53.3447,1.0487,True,REWRITE:Ω_FRAME
176,0.9455,0.0381,0.4145,0.4183,87.8452,124.0756,53.684,1.08,True,REWRITE:Ω_FRAME
177,0.939,0.0629,0.4141,0.8184,88.3529,124.8226,53.954,1.1346,True,REWRITE:Ω_FRAME
178,0.9447,0.0602,0.2596,0.9787,88.8534,125.5455,54.2439,1.104,True,REWRITE:Ω_FRAME
179,0.9703,0.2874,0.7514,0.1011,89.3724,126.2771,54.5686,1.0747,True,REWRITE:Ω_FRAME
180,0.9549,0.091,0.2591,0.999,89.8203,126.9712,54.8545,1.059,True,REWRITE:Ω_FRAME
181,0.9771,0.4321,0.5935,0.9702,90.2875,127.6742,55.2119,1.0439,True,REWRITE:Ω_FRAME
182,0.9493,0.0301,0.4119,0.5535,90.7234,128.3454,55.521,1.0778,True,REWRITE:Ω_FRAME
183,0.9432,0.0574,0.531,0.941,91.1972,129.0517,55.8201,1.0231,True,REWRITE:Ω_FRAME
184,0.9375,0.0218,0.4111,0.783,91.7252,129.6996,56.0733,1.0578,True,REWRITE:Ω_FRAME
185,0.9719,0.0894,0.5911,0.4277,92.158,130.4472,56.4277,1.0546,True,REWRITE:Ω_FRAME
186,0.9442,0.0195,0.4102,0.1218,92.6252,131.2111,56.6516,1.0046,True,REWRITE:Ω_FRAME
187,0.9386,0.1689,0.4794,0.447,93.0538,131.9438,56.856,0.9444,True,REWRITE:Ω_FRAME
188,0.9459,0.027,0.5283,0.9336,93.5571,132.6809,57.1347,0.8829,True,REWRITE:Ω_FRAME
189,0.9666,0.0605,0.5887,0.0721,94.0928,133.3709,57.4277,0.8744,True,REWRITE:Ω_FRAME
190,0.9319,0.0972,0.2565,0.9443,94.5475,134.06,57.7565,0.8706,True,REWRITE:Ω_FRAME
191,0.9492,0.0168,0.6225,0.9215,95.0448,134.7655,58.0214,0.9497,True,REWRITE:Ω_FRAME
192,0.9343,0.2869,0.256,0.9919,95.5023,135.5648,58.2394,0.9032,True,REWRITE:Ω_FRAME
193,0.932,0.1516,0.4074,0.1273,96.0329,136.3038,58.5692,0.8923,True,REWRITE:Ω_FRAME
194,0.961,0.0376,0.5858,0.9969,96.5816,136.9195,58.8477,0.9316,True,REWRITE:Ω_FRAME
195,0.941,0.0229,0.5448,0.77,97.0113,137.6307,59.1077,0.8912,True,REWRITE:Ω_FRAME
196,0.9502,0.0879,0.255,0.9981,97.4756,138.2938,59.43,1.0087,False,REWRITE:Ω_FRAME
197,0.9788,0.0107,0.6611,0.918,97.9951,139.011,59.7233,0.9926,True,REWRITE:Ω_FRAME
198,0.9569,0.1772,0.2545,0.9925,98.4752,139.7157,59.9988,1.0241,True,REWRITE:Ω_FRAME
199,0.9726,0.0971,0.5916,0.84,98.9827,140.4122,60.2814,0.99,True,REWRITE:Ω_FRAME
200,0.955,0.3633,0.4047,0.3587,99.4788,141.1794,60.5784,1.01,True,REWRITE:Ω_FRAME
201,0.9624,0.0368,0.4043,0.0007,100.0546,141.8422,60.8496,1.0282,True,REWRITE:Ω_FRAME
202,0.9711,0.0399,0.404,0.9969,100.6119,142.6088,61.1856,1.0912,True,REWRITE:Ω_FRAME
203,0.9918,0.0942,0.6574,0.4774,101.1259,143.3503,61.4904,1.0527,True,REWRITE:Ω_FRAME
204,0.9694,0.0234,0.4032,0.5638,101.6537,144.0785,61.8592,1.0405,True,REWRITE:Ω_FRAME
205,0.9694,0.1933,0.4029,0.6578,102.2243,144.773,62.1097,1.0402,True,REWRITE:Ω_FRAME
206,0.9623,0.0,0.4709,0.9957,102.6976,145.5179,62.4496,1.0883,True,REWRITE:Ω_FRAME
207,0.9529,0.0114,0.5565,0.8296,103.2291,146.2501,62.7775,1.0922,True,REWRITE:Ω_FRAME
208,0.9369,0.1032,0.4018,0.8307,103.7425,147.0211,63.1137,1.1196,True,REWRITE:Ω_FRAME
209,0.9605,0.01,0.7811,0.2985,104.1953,147.7704,63.4921,1.072,True,REWRITE:Ω_FRAME
210,0.9532,0.0327,0.2517,0.8197,104.6397,148.4249,63.8524,1.0863,True,REWRITE:Ω_FRAME
211,0.9434,0.0765,0.4688,0.0881,105.0807,149.1534,64.0976,1.1085,True,REWRITE:Ω_FRAME
212,0.9561,0.0745,0.4004,0.617,105.5857,149.7879,64.3666,1.0861,True,REWRITE:Ω_FRAME
213,0.9571,0.0545,0.4,0.9999,106.0987,150.4789,64.6477,1.0682,True,REWRITE:Ω_FRAME
214,0.9444,0.2718,0.3997,0.5561,106.6614,151.1688,64.9248,1.0184,True,REWRITE:Ω_FRAME
215,0.9757,0.0553,0.6313,0.071,107.1977,151.8579,65.2781,1.0595,True,REWRITE:Ω_FRAME
216,0.952,0.0639,0.399,0.7061,107.6647,152.542,65.5619,1.0083,True,REWRITE:Ω_FRAME
217,0.9454,0.2839,0.3987,0.9593,108.1533,153.2442,65.8706,1.0246,True,REWRITE:Ω_FRAME
218,0.9545,0.4309,0.3983,0.9916,108.6522,153.9981,66.1529,1.0037,True,REWRITE:Ω_FRAME
219,0.9715,0.0581,0.6483,0.9954,109.1833,154.6882,66.5563,1.0283,True,REWRITE:Ω_FRAME
220,0.9415,0.0556,0.3977,0.2083,109.7061,155.4151,66.8211,1.0706,True,REWRITE:Ω_FRAME
221,0.9447,0.0767,0.5719,0.8555,110.1722,156.1997,67.2101,1.0878,True,REWRITE:Ω_FRAME
222,0.9507,0.0503,0.2492,0.8538,110.6438,156.9495,67.5126,1.0729,True,REWRITE:Ω_FRAME
223,0.9887,0.0387,0.5793,0.9687,111.1706,157.6998,67.7788,1.0942,True,REWRITE:Ω_FRAME
224,0.9647,0.0865,0.5311,0.9032,111.7524,158.4023,68.0978,1.1162,True,REWRITE:Ω_FRAME
225,0.9678,0.0511,0.396,0.6956,112.216,159.0883,68.4724,1.1478,True,REWRITE:Ω_FRAME
226,0.9607,0.0069,0.2484,0.8883,112.7641,159.7801,68.8192,1.1482,True,REWRITE:Ω_FRAME
227,0.9757,0.0184,0.6441,0.9571,113.2872,160.538,69.1232,1.0633,True,REWRITE:Ω_FRAME
228,0.9488,0.0213,0.248,0.9723,113.7345,161.3118,69.4211,1.1158,True,REWRITE:Ω_FRAME
229,0.9463,0.0044,0.5682,0.9978,114.2604,162.0095,69.7951,1.1731,True,REWRITE:Ω_FRAME
230,0.9435,0.0082,0.5678,0.9981,114.7533,162.6955,70.1324,1.12,True,REWRITE:Ω_FRAME
231,0.9431,0.0455,0.5087,0.2052,115.2549,163.3626,70.4042,1.0501,True,REWRITE:Ω_FRAME
232,0.9411,0.0122,0.2472,0.7073,115.7967,164.0932,70.7088,1.0667,True,REWRITE:Ω_FRAME
233,0.9613,0.0136,0.641,0.9994,116.2952,164.7501,70.9756,1.0971,True,REWRITE:Ω_FRAME
234,0.9291,0.0339,0.3932,0.8499,116.8541,165.454,71.2238,1.0751,True,REWRITE:Ω_FRAME
235,0.9182,0.2942,0.4597,0.8356,117.3525,166.1817,71.5419,1.111,True,REWRITE:Ω_FRAME
236,0.9188,0.0875,0.3926,0.2796,117.8901,166.8775,71.7635,1.084,True,REWRITE:Ω_FRAME
237,0.9274,0.0665,0.5647,0.5146,118.3394,167.5879,72.054,1.05,True,REWRITE:Ω_FRAME
